respondent_id,age,gender,state,location_type,family_income,education_level,stream,board,academic_performance,career_clarity,urgency,decision_maker,primary_info_source,past_career_spend,career_domain_interest,preferred_feature,motivation,fear_score,risk_score,wtp_monthly,wtp_onetime,platform_adoption,persona_label
R0592,24,Female,Kerala,Rural,₹10–20L,Postgraduate,Science PCM,Other,70–80%,Somewhat clear,Within 3 months,Parents,YouTube,Coaching classes,Business/Management,1-on-1 mentorship,Financial security,1,3,402.0,1129.0,Yes,Career Switcher
R0593,20,Male,Karnataka,Metro,₹2–5L,Working Professional,Science PCB,State Board,60–70%,Somewhat unclear,Within 3 months,Myself,Family/Friends,Coaching classes,Medicine/Healthcare,Entrance exam navigator,Family expectations,5,5,312.0,1554.0,Yes,Anxious Achiever
R0594,17,Male,West Bengal,Tier-2,Below ₹2L,Undergraduate,Science PCB,State Board,60–70%,Somewhat unclear,3–6 months,Relatives,YouTube,Coaching classes,Medicine/Healthcare,1-on-1 mentorship,Passion/Interest,5,3,180.0,841.0,Yes,Anxious Achiever
R0595,20,Female,Karnataka,Tier-3,₹2–5L,Undergraduate,Commerce,ICSE,70–80%,Not clear at all,More than 2 years,Parents,YouTube,Nothing,Business/Management,Scholarship finder,Financial security,3,3,183.0,893.0,No,Passive Explorer
R0596,17,Female,Haryana,Tier-3,₹10–20L,Class 11-12,Not Applicable,State Board,80–90%,Not clear at all,3–6 months,Teachers/Counsellor,YouTube,Nothing,Education/Teaching,AI career roadmap,Passion/Interest,5,2,281.0,1274.0,No,Confused Drifter
R0597,22,Male,Tamil Nadu,Tier-3,₹10–20L,Undergraduate,Arts/Humanities,ICSE,80–90%,Not clear at all,6–12 months,Myself,YouTube,Nothing,Law,Scholarship finder,Social status,1,4,321.0,951.0,Yes,Confused Drifter
R0598,19,Male,Bihar,Tier-3,₹10–20L,Class 11-12,Vocational,CBSE,70–80%,Not clear at all,6–12 months,Myself,Social Media,Nothing,Other,Entrance exam navigator,Family expectations,5,5,200.0,714.0,No,Passive Explorer
R0599,16,Male,Uttar Pradesh,Tier-3,,Class 11-12,Commerce,Other,Below 60%,Very clear,6–12 months,Teachers/Counsellor,Social Media,Career counsellor,Government/UPSC,1-on-1 mentorship,Financial security,4,5,295.0,1140.0,Yes,Focused Climber
R0600,16,Female,Maharashtra,Tier-2,₹2–5L,Working Professional,Science PCB,CBSE,70–80%,Not clear at all,3–6 months,Myself,School Counsellor,Nothing,Medicine/Healthcare,Entrance exam navigator,Social status,4,4,219.0,745.0,No,Confused Drifter
R0601,20,Male,Rajasthan,Tier-3,Above ₹20L,Class 11-12,Commerce,State Board,Above 90%,Not clear at all,More than 2 years,Parents,Online Platforms,Nothing,Government/UPSC,AI career roadmap,Passion/Interest,3,2,398.0,1270.0,No,Confused Drifter
R0602,18,Female,Kerala,Rural,₹2–5L,Undergraduate,Arts/Humanities,CBSE,70–80%,Not clear at all,3–6 months,Myself,YouTube,Coaching classes,Science Research,AI career roadmap,Financial security,3,1,173.0,464.0,Yes,Confused Drifter
R0603,20,Female,Karnataka,Tier-2,₹10–20L,Undergraduate,Arts/Humanities,CBSE,Above 90%,Somewhat unclear,More than 2 years,Parents,Family/Friends,Career counsellor,Business/Management,College matchmaking,Family expectations,3,2,473.0,1432.0,Yes,Anxious Achiever
R0604,18,Female,Punjab,Metro,₹10–20L,Working Professional,Science PCM,CBSE,70–80%,Not clear at all,6–12 months,Myself,Family/Friends,Exam prep material,Business/Management,Skill assessment,Family expectations,5,3,368.0,1280.0,No,Confused Drifter
R0605,20,Female,Other,Tier-2,₹2–5L,Postgraduate,Science PCB,State Board,60–70%,Not clear at all,3–6 months,Both equally,School Counsellor,Nothing,Law,1-on-1 mentorship,Financial security,1,5,107.0,354.0,No,Passive Explorer
R0606,20,Female,Maharashtra,Tier-3,Below ₹2L,Undergraduate,Science PCM,CBSE,70–80%,Somewhat unclear,3–6 months,Both equally,Family/Friends,Coaching classes,Business/Management,1-on-1 mentorship,Social status,5,2,194.0,514.0,Yes,Anxious Achiever
R0607,20,Male,Andhra Pradesh,Metro,₹2–5L,Undergraduate,Vocational,CBSE,60–70%,Very clear,6–12 months,Both equally,School Counsellor,Exam prep material,Engineering/Tech,1-on-1 mentorship,Family expectations,3,3,422.0,1128.0,Yes,Focused Climber
R0608,20,Female,Bihar,Rural,₹10–20L,Class 11-12,Commerce,CBSE,60–70%,Not clear at all,6–12 months,Both equally,Family/Friends,Coaching classes,Law,AI career roadmap,Family expectations,5,1,283.0,1014.0,No,Confused Drifter
R0609,16,Male,West Bengal,Metro,₹10–20L,Undergraduate,Commerce,State Board,Above 90%,Somewhat clear,1–2 years,Both equally,School Counsellor,Online courses,Finance/Banking,Skill assessment,Passion/Interest,2,3,549.0,1536.0,Yes,Career Switcher
R0610,19,Male,Karnataka,Tier-2,Below ₹2L,Class 9-10,Science PCM,CBSE,80–90%,Somewhat unclear,1–2 years,Teachers/Counsellor,Career Books,Exam prep material,Finance/Banking,1-on-1 mentorship,Family expectations,3,4,233.0,741.0,Yes,Anxious Achiever
R0611,15,Female,Bihar,Tier-2,Above ₹20L,Class 9-10,Vocational,State Board,80–90%,Not clear at all,More than 2 years,Parents,Social Media,Nothing,Science Research,AI career roadmap,Financial security,5,3,428.0,1956.0,No,Confused Drifter
R0612,19,Male,Uttar Pradesh,Metro,₹2–5L,Class 11-12,Science PCM,CBSE,70–80%,Somewhat unclear,3–6 months,Both equally,School Counsellor,Online courses,Government/UPSC,AI career roadmap,Family expectations,5,1,275.0,1146.0,Yes,Anxious Achiever
R0613,17,Male,West Bengal,Tier-3,₹10–20L,Postgraduate,Science PCM,State Board,80–90%,Not clear at all,1–2 years,Myself,YouTube,Coaching classes,Law,1-on-1 mentorship,Passion/Interest,3,1,288.0,853.0,Yes,Confused Drifter
R0614,16,Male,Tamil Nadu,Rural,Below ₹2L,Class 11-12,Science PCM,State Board,80–90%,Very clear,1–2 years,Parents,Family/Friends,Coaching classes,Engineering/Tech,Skill assessment,Passion/Interest,1,2,252.0,726.0,Yes,Focused Climber
R0615,18,Male,Maharashtra,Tier-2,₹2–5L,Class 11-12,Not Applicable,Other,Below 60%,Not clear at all,1–2 years,Myself,Family/Friends,Nothing,Finance/Banking,Scholarship finder,Passion/Interest,3,5,108.0,365.0,Yes,Passive Explorer
R0616,20,Female,Rajasthan,Metro,₹5–10L,Working Professional,Arts/Humanities,Other,80–90%,Somewhat clear,6–12 months,Both equally,Family/Friends,Exam prep material,Science Research,College matchmaking,Financial security,4,3,419.0,1912.0,No,Career Switcher
R0617,21,Female,Bihar,Tier-3,₹5–10L,Class 11-12,Science PCB,CBSE,80–90%,Not clear at all,1–2 years,Parents,Family/Friends,Exam prep material,Government/UPSC,1-on-1 mentorship,Family expectations,1,1,222.0,993.0,No,Confused Drifter
R0618,19,Male,Andhra Pradesh,Tier-3,,Undergraduate,Commerce,Other,60–70%,Somewhat clear,6–12 months,Both equally,YouTube,Coaching classes,Other,Skill assessment,Financial security,1,4,348.0,1539.0,No,Career Switcher
R0619,23,Male,Kerala,Tier-3,₹5–10L,Undergraduate,Science PCB,CBSE,70–80%,Somewhat clear,1–2 years,Parents,Family/Friends,Career counsellor,Medicine/Healthcare,1-on-1 mentorship,Unclear,2,4,444.0,2172.0,No,Career Switcher
R0620,20,Female,West Bengal,Rural,₹10–20L,Class 11-12,Science PCM,Other,70–80%,Not clear at all,More than 2 years,Both equally,YouTube,Career counsellor,Education/Teaching,Skill assessment,Social status,5,2,291.0,1450.0,Yes,Confused Drifter
R0621,16,Female,Gujarat,Metro,,Class 9-10,Science PCB,CBSE,80–90%,Not clear at all,6–12 months,Both equally,Online Platforms,Nothing,Arts/Design,Scholarship finder,Social status,4,2,303.0,1053.0,No,Confused Drifter
R0622,15,Male,Rajasthan,Rural,₹2–5L,Working Professional,Commerce,Other,80–90%,Somewhat unclear,Within 3 months,Parents,YouTube,Online courses,Education/Teaching,AI career roadmap,Family expectations,4,4,220.0,809.0,No,Anxious Achiever
R0623,18,Male,Rajasthan,Tier-3,₹5–10L,Undergraduate,Not Applicable,CBSE,70–80%,Somewhat unclear,Within 3 months,Both equally,YouTube,Exam prep material,Law,College matchmaking,Passion/Interest,4,2,270.0,1079.0,Yes,Anxious Achiever
R0624,18,Male,Punjab,Tier-3,₹10–20L,Class 11-12,Science PCB,State Board,70–80%,Very clear,Within 3 months,Both equally,YouTube,Online courses,Government/UPSC,College matchmaking,Family expectations,1,5,514.0,2349.0,Yes,Focused Climber
R0625,19,Female,Maharashtra,Tier-2,₹2–5L,Working Professional,Commerce,CBSE,60–70%,Not clear at all,Within 3 months,Parents,Family/Friends,Online courses,Law,Scholarship finder,Social status,5,3,171.0,466.0,No,Passive Explorer
R0626,18,Prefer not to say,Madhya Pradesh,Metro,₹2–5L,Class 9-10,Science PCM,State Board,Above 90%,Not clear at all,1–2 years,Parents,Online Platforms,Nothing,Engineering/Tech,1-on-1 mentorship,Unclear,4,2,139.0,640.0,No,Passive Explorer
R0627,22,Male,Gujarat,Tier-2,₹10–20L,Undergraduate,Commerce,CBSE,70–80%,Somewhat unclear,Within 3 months,Both equally,Online Platforms,Coaching classes,Arts/Design,Entrance exam navigator,Social status,4,3,467.0,1383.0,Yes,Anxious Achiever
R0628,21,Male,Other,Rural,₹5–10L,Postgraduate,Commerce,CBSE,80–90%,Very clear,6–12 months,Parents,Online Platforms,Career counsellor,Business/Management,College matchmaking,Social status,5,5,448.0,1887.0,Yes,Focused Climber
R0629,16,Female,Maharashtra,Tier-3,₹2–5L,Undergraduate,Vocational,CBSE,80–90%,Somewhat unclear,Within 3 months,Myself,Online Platforms,Coaching classes,Business/Management,Entrance exam navigator,Financial security,3,4,247.0,631.0,Yes,Anxious Achiever
R0630,21,Male,Kerala,Tier-3,₹5–10L,Class 11-12,Science PCB,CBSE,70–80%,Somewhat unclear,6–12 months,Relatives,YouTube,Online courses,Medicine/Healthcare,AI career roadmap,Passion/Interest,4,3,338.0,1330.0,No,Anxious Achiever
R0631,19,Male,Uttar Pradesh,Tier-2,Below ₹2L,Working Professional,Vocational,CBSE,70–80%,Not clear at all,Within 3 months,Parents,YouTube,Exam prep material,Engineering/Tech,College matchmaking,Financial security,5,5,170.0,646.0,No,Confused Drifter
R0632,16,Female,Tamil Nadu,Rural,₹2–5L,Postgraduate,Commerce,ICSE,70–80%,Not clear at all,6–12 months,Parents,School Counsellor,Nothing,Law,Entrance exam navigator,Social status,3,2,217.0,1080.0,No,Confused Drifter
R0633,20,Male,Madhya Pradesh,Tier-3,₹10–20L,Class 9-10,Science PCB,IB,70–80%,Very clear,More than 2 years,Myself,YouTube,Exam prep material,Medicine/Healthcare,Scholarship finder,Financial security,4,3,547.0,2071.0,Yes,Focused Climber
R0634,22,Female,Kerala,Tier-2,₹10–20L,Undergraduate,Commerce,CBSE,Above 90%,Not clear at all,1–2 years,Both equally,School Counsellor,Nothing,Other,Scholarship finder,Family expectations,2,2,293.0,1346.0,Yes,Passive Explorer
R0635,16,Female,Telangana,Tier-2,₹10–20L,Undergraduate,Not Applicable,CBSE,70–80%,Not clear at all,3–6 months,Both equally,Family/Friends,Nothing,Law,College matchmaking,Financial security,3,2,289.0,723.0,Yes,Confused Drifter
R0636,18,Male,Telangana,Tier-3,₹5–10L,Undergraduate,Science PCB,CBSE,80–90%,Somewhat clear,3–6 months,Myself,Family/Friends,Coaching classes,Business/Management,1-on-1 mentorship,Unclear,4,4,359.0,1418.0,No,Career Switcher
R0637,20,Male,West Bengal,Tier-2,₹10–20L,Undergraduate,Arts/Humanities,State Board,Above 90%,Very clear,3–6 months,Myself,School Counsellor,Career counsellor,Law,Entrance exam navigator,Passion/Interest,3,2,614.0,2172.0,Yes,Focused Climber
R0638,15,Female,Uttar Pradesh,Tier-3,Below ₹2L,Postgraduate,Science PCM,State Board,70–80%,Very clear,1–2 years,Parents,YouTube,Exam prep material,Engineering/Tech,AI career roadmap,Social status,3,2,246.0,1181.0,Yes,Focused Climber
R0639,15,Male,Other,Metro,₹2–5L,Class 9-10,Science PCM,State Board,80–90%,Not clear at all,1–2 years,Myself,YouTube,Nothing,Arts/Design,1-on-1 mentorship,Passion/Interest,2,3,288.0,1156.0,No,Confused Drifter
R0640,23,Male,Tamil Nadu,Tier-2,₹2–5L,Working Professional,Science PCB,CBSE,70–80%,Not clear at all,1–2 years,Both equally,Family/Friends,Nothing,Medicine/Healthcare,AI career roadmap,Family expectations,4,2,169.0,821.0,No,Passive Explorer
R0641,16,Prefer not to say,Punjab,Metro,₹5–10L,Undergraduate,Science PCB,State Board,60–70%,Somewhat unclear,3–6 months,Both equally,Online Platforms,Exam prep material,Medicine/Healthcare,Entrance exam navigator,Financial security,5,4,385.0,1336.0,Yes,Anxious Achiever
R0642,18,Female,West Bengal,Rural,₹5–10L,Class 11-12,Science PCM,CBSE,80–90%,Somewhat unclear,Within 3 months,Both equally,Online Platforms,Coaching classes,Government/UPSC,Entrance exam navigator,Passion/Interest,4,4,323.0,1085.0,No,Anxious Achiever
R0643,23,Female,Maharashtra,Tier-2,₹2–5L,Undergraduate,Commerce,CBSE,Below 60%,Somewhat clear,3–6 months,Parents,Online Platforms,Online courses,Other,1-on-1 mentorship,Financial security,2,2,291.0,1139.0,Yes,Career Switcher
R0644,19,Female,Maharashtra,Metro,₹5–10L,Class 11-12,Vocational,CBSE,80–90%,Somewhat clear,1–2 years,Parents,School Counsellor,Online courses,Arts/Design,Scholarship finder,Unclear,5,1,404.0,1380.0,Yes,Career Switcher
R0645,22,Male,Maharashtra,Tier-2,,Class 11-12,Commerce,State Board,80–90%,Somewhat unclear,3–6 months,Parents,Family/Friends,Exam prep material,Business/Management,1-on-1 mentorship,Social status,5,1,202.0,955.0,Yes,Anxious Achiever
R0646,16,Male,Uttar Pradesh,Metro,₹5–10L,Class 9-10,Commerce,CBSE,Above 90%,Not clear at all,3–6 months,Both equally,YouTube,Exam prep material,Government/UPSC,1-on-1 mentorship,Passion/Interest,3,1,298.0,1135.0,Yes,Confused Drifter
R0647,17,Male,Uttar Pradesh,Tier-3,Below ₹2L,Undergraduate,Science PCB,CBSE,80–90%,Not clear at all,6–12 months,Both equally,Family/Friends,Nothing,Finance/Banking,Scholarship finder,Social status,2,1,203.0,521.0,No,Confused Drifter
R0648,19,Male,Tamil Nadu,Tier-3,₹10–20L,Postgraduate,Science PCM,CBSE,80–90%,Somewhat unclear,1–2 years,Myself,School Counsellor,Online courses,Business/Management,1-on-1 mentorship,Financial security,5,1,418.0,1082.0,Yes,Anxious Achiever
R0649,17,Prefer not to say,Gujarat,Rural,Below ₹2L,Postgraduate,Science PCM,CBSE,70–80%,Somewhat unclear,1–2 years,Both equally,Career Books,Career counsellor,Arts/Design,Scholarship finder,Financial security,5,5,224.0,1120.0,No,Anxious Achiever
R0650,19,Female,Andhra Pradesh,Tier-2,₹5–10L,Class 11-12,Science PCB,State Board,70–80%,Not clear at all,6–12 months,Parents,YouTube,Nothing,Arts/Design,1-on-1 mentorship,Financial security,5,1,249.0,744.0,No,Confused Drifter
R0651,18,Male,Other,Tier-2,,Class 11-12,Science PCM,ICSE,70–80%,Somewhat unclear,Within 3 months,Myself,Online Platforms,Career counsellor,Business/Management,AI career roadmap,Passion/Interest,4,4,226.0,1030.0,Yes,Focused Climber
R0652,18,Male,Uttar Pradesh,Metro,₹5–10L,Working Professional,Science PCM,State Board,60–70%,Not clear at all,6–12 months,Both equally,YouTube,Online courses,Business/Management,1-on-1 mentorship,Family expectations,3,1,316.0,955.0,No,Confused Drifter
R0653,24,Male,Rajasthan,Rural,Below ₹2L,Undergraduate,Science PCB,State Board,80–90%,Somewhat unclear,More than 2 years,Relatives,Social Media,Exam prep material,Government/UPSC,Skill assessment,Financial security,5,2,168.0,750.0,No,Anxious Achiever
R0654,18,Female,Rajasthan,Tier-2,₹5–10L,Working Professional,Commerce,CBSE,Above 90%,Not clear at all,3–6 months,Parents,School Counsellor,Online courses,Finance/Banking,1-on-1 mentorship,Family expectations,3,1,298.0,1443.0,Yes,Confused Drifter
R0655,23,Male,Telangana,Tier-3,₹5–10L,Class 11-12,Science PCB,CBSE,70–80%,Not clear at all,1–2 years,Parents,Family/Friends,Nothing,Finance/Banking,Scholarship finder,Passion/Interest,3,2,161.0,596.0,No,Passive Explorer
R0656,16,Female,Bihar,Tier-2,,Class 11-12,Commerce,Other,Above 90%,Very clear,3–6 months,Parents,Family/Friends,Coaching classes,Business/Management,Entrance exam navigator,Passion/Interest,2,4,656.0,2191.0,Yes,Focused Climber
R0657,18,Male,Maharashtra,Tier-3,₹2–5L,Class 11-12,Vocational,Other,Below 60%,Somewhat unclear,3–6 months,Parents,Family/Friends,Online courses,Business/Management,AI career roadmap,Financial security,4,2,185.0,817.0,Yes,Anxious Achiever
R0658,25,Male,Haryana,Metro,Above ₹20L,Undergraduate,Science PCB,CBSE,80–90%,Not clear at all,1–2 years,Relatives,Family/Friends,Nothing,Business/Management,Skill assessment,Family expectations,4,2,464.0,1885.0,No,Confused Drifter
R0659,20,Male,Haryana,Tier-3,Below ₹2L,Undergraduate,Arts/Humanities,CBSE,80–90%,Not clear at all,6–12 months,Parents,Social Media,Nothing,Government/UPSC,AI career roadmap,Family expectations,4,4,179.0,860.0,No,Confused Drifter
R0660,19,Male,Karnataka,Metro,₹5–10L,Class 11-12,Science PCM,CBSE,80–90%,Very clear,Within 3 months,Myself,Family/Friends,Career counsellor,Business/Management,1-on-1 mentorship,Financial security,3,5,548.0,2264.0,Yes,Focused Climber
R0661,19,Male,Gujarat,Metro,₹2–5L,Class 9-10,Science PCB,CBSE,70–80%,Not clear at all,1–2 years,Parents,YouTube,Coaching classes,Medicine/Healthcare,1-on-1 mentorship,Unclear,5,1,257.0,938.0,Yes,Confused Drifter
R0662,23,Male,Karnataka,Tier-3,₹5–10L,Undergraduate,Arts/Humanities,CBSE,70–80%,Not clear at all,More than 2 years,Myself,YouTube,Exam prep material,Business/Management,AI career roadmap,Passion/Interest,2,4,188.0,702.0,No,Passive Explorer
R0663,21,Male,Tamil Nadu,Rural,₹10–20L,Undergraduate,Not Applicable,CBSE,80–90%,Very clear,6–12 months,Both equally,YouTube,Career counsellor,Engineering/Tech,1-on-1 mentorship,Passion/Interest,2,4,479.0,2254.0,Yes,Focused Climber
R0664,15,Male,Maharashtra,Tier-2,₹5–10L,Postgraduate,Commerce,State Board,70–80%,Not clear at all,1–2 years,Parents,YouTube,Nothing,Government/UPSC,Scholarship finder,Financial security,5,1,273.0,1106.0,No,Confused Drifter
R0665,17,Female,Kerala,Tier-3,₹10–20L,Class 11-12,Science PCB,State Board,Below 60%,Very clear,3–6 months,Parents,Online Platforms,Coaching classes,Science Research,Scholarship finder,Passion/Interest,2,3,541.0,2576.0,Yes,Focused Climber
R0666,18,Male,Punjab,Metro,₹2–5L,Undergraduate,Not Applicable,Other,70–80%,Somewhat clear,6–12 months,Parents,School Counsellor,Coaching classes,Business/Management,Scholarship finder,Financial security,4,3,348.0,1692.0,No,Career Switcher
R0667,21,Male,Uttar Pradesh,Tier-2,₹10–20L,Postgraduate,Science PCM,CBSE,70–80%,Somewhat unclear,1–2 years,Both equally,YouTube,Coaching classes,Medicine/Healthcare,AI career roadmap,Financial security,5,5,434.0,2056.0,Yes,Anxious Achiever
R0668,23,Male,Other,Tier-3,₹10–20L,Working Professional,Commerce,State Board,Below 60%,Very clear,1–2 years,Both equally,Online Platforms,Coaching classes,Business/Management,1-on-1 mentorship,Family expectations,2,4,320.0,891.0,Yes,Confused Drifter
R0669,21,Male,Other,Metro,₹10–20L,Undergraduate,Arts/Humanities,State Board,80–90%,Very clear,Within 3 months,Parents,Social Media,Coaching classes,Government/UPSC,College matchmaking,Family expectations,3,5,727.0,3635.0,Yes,Focused Climber
R0670,22,Female,Uttar Pradesh,Metro,₹5–10L,Undergraduate,Not Applicable,State Board,70–80%,Very clear,3–6 months,Myself,Family/Friends,Exam prep material,Arts/Design,Entrance exam navigator,Passion/Interest,2,3,530.0,1545.0,Yes,Focused Climber
R0671,18,Male,Other,Tier-3,₹10–20L,Class 11-12,Science PCM,CBSE,Above 90%,Not clear at all,6–12 months,Parents,YouTube,Coaching classes,Education/Teaching,1-on-1 mentorship,Social status,2,3,303.0,1419.0,No,Confused Drifter
R0672,19,Male,Rajasthan,Rural,₹2–5L,Class 11-12,Vocational,CBSE,60–70%,Very clear,Within 3 months,Relatives,Family/Friends,Online courses,Business/Management,Entrance exam navigator,Social status,3,4,372.0,1079.0,Yes,Focused Climber
R0673,19,Male,Maharashtra,Tier-2,Below ₹2L,Undergraduate,Arts/Humanities,CBSE,Above 90%,Very clear,1–2 years,Myself,Social Media,Coaching classes,Medicine/Healthcare,Entrance exam navigator,Passion/Interest,4,4,303.0,934.0,Yes,Focused Climber
R0674,20,Female,Maharashtra,Tier-2,₹10–20L,Undergraduate,Vocational,CBSE,80–90%,Not clear at all,Within 3 months,Parents,YouTube,Nothing,Finance/Banking,Scholarship finder,Financial security,4,2,258.0,892.0,No,Passive Explorer
R0675,19,Female,Haryana,Tier-3,₹5–10L,Class 11-12,Vocational,State Board,60–70%,Not clear at all,6–12 months,Both equally,School Counsellor,Exam prep material,Government/UPSC,Scholarship finder,Family expectations,3,4,225.0,1062.0,No,Confused Drifter
R0676,20,Male,Madhya Pradesh,Metro,₹10–20L,Class 9-10,Arts/Humanities,IB,70–80%,Very clear,Within 3 months,Both equally,Social Media,Online courses,Law,Entrance exam navigator,Social status,4,3,733.0,2039.0,Yes,Focused Climber
R0677,22,Female,Gujarat,Tier-2,Above ₹20L,Undergraduate,Science PCM,State Board,Above 90%,Not clear at all,3–6 months,Both equally,School Counsellor,Online courses,Business/Management,Entrance exam navigator,Passion/Interest,5,1,449.0,1153.0,No,Confused Drifter
R0678,23,Female,Uttar Pradesh,Tier-3,₹2–5L,Postgraduate,Science PCM,CBSE,70–80%,Very clear,1–2 years,Myself,Online Platforms,Career counsellor,Medicine/Healthcare,1-on-1 mentorship,Family expectations,2,2,312.0,1238.0,Yes,Focused Climber
R0679,20,Male,Bihar,Tier-2,₹10–20L,Class 9-10,Science PCM,State Board,80–90%,Not clear at all,6–12 months,Myself,YouTube,Nothing,Engineering/Tech,AI career roadmap,Financial security,3,2,336.0,1255.0,No,Passive Explorer
R0680,23,Male,Tamil Nadu,Tier-2,,Class 9-10,Science PCM,Other,70–80%,Very clear,3–6 months,Parents,YouTube,Online courses,Engineering/Tech,AI career roadmap,Financial security,5,1,483.0,1853.0,Yes,Anxious Achiever
R0681,18,Male,Uttar Pradesh,Tier-3,₹2–5L,Undergraduate,Science PCB,State Board,Above 90%,Somewhat unclear,3–6 months,Parents,Online Platforms,Career counsellor,Business/Management,1-on-1 mentorship,Passion/Interest,3,5,214.0,819.0,Yes,Anxious Achiever
R0682,19,Male,Rajasthan,Tier-2,Above ₹20L,Undergraduate,Science PCM,CBSE,80–90%,Not clear at all,Within 3 months,Parents,YouTube,Coaching classes,Engineering/Tech,AI career roadmap,Social status,3,2,426.0,1725.0,Yes,Confused Drifter
R0683,25,Male,Uttar Pradesh,Tier-2,₹5–10L,Class 11-12,Science PCM,CBSE,Above 90%,Not clear at all,1–2 years,Both equally,Online Platforms,Coaching classes,Education/Teaching,AI career roadmap,Unclear,2,1,247.0,791.0,Yes,Confused Drifter
R0684,17,Male,Gujarat,Rural,,Class 11-12,Science PCM,Other,Above 90%,Not clear at all,6–12 months,Myself,YouTube,Nothing,Business/Management,1-on-1 mentorship,Financial security,3,2,128.0,566.0,No,Confused Drifter
R0685,23,Male,Kerala,Tier-2,Below ₹2L,Undergraduate,Vocational,CBSE,60–70%,Somewhat unclear,6–12 months,Both equally,Family/Friends,Coaching classes,Engineering/Tech,College matchmaking,Family expectations,4,4,210.0,798.0,Yes,Anxious Achiever
R0686,21,Female,Madhya Pradesh,Rural,,Undergraduate,Commerce,CBSE,60–70%,Not clear at all,More than 2 years,Parents,Social Media,Coaching classes,Finance/Banking,College matchmaking,Passion/Interest,3,2,191.0,799.0,Yes,Passive Explorer
R0687,16,Male,Bihar,Tier-3,Below ₹2L,Undergraduate,Commerce,State Board,60–70%,Somewhat clear,Within 3 months,Teachers/Counsellor,YouTube,Online courses,Business/Management,College matchmaking,Financial security,3,3,221.0,1007.0,No,Career Switcher
R0688,15,Male,Andhra Pradesh,Tier-3,₹2–5L,Undergraduate,Not Applicable,ICSE,70–80%,Very clear,Within 3 months,Both equally,YouTube,Coaching classes,Science Research,College matchmaking,Family expectations,4,3,353.0,1754.0,Yes,Focused Climber
R0689,23,Male,West Bengal,Tier-3,₹2–5L,Class 11-12,Science PCM,State Board,Above 90%,Very clear,3–6 months,Both equally,Family/Friends,Exam prep material,Medicine/Healthcare,Entrance exam navigator,Financial security,5,3,312.0,892.0,Yes,Focused Climber
R0690,21,Female,Other,Tier-2,₹2–5L,Undergraduate,Science PCB,CBSE,60–70%,Not clear at all,1–2 years,Both equally,YouTube,Coaching classes,Arts/Design,Entrance exam navigator,Family expectations,3,3,150.0,438.0,No,Passive Explorer
R0691,20,Male,Rajasthan,Tier-2,₹2–5L,Working Professional,Science PCM,CBSE,Above 90%,Not clear at all,Within 3 months,Teachers/Counsellor,YouTube,Online courses,Science Research,1-on-1 mentorship,Passion/Interest,3,3,265.0,1138.0,Yes,Confused Drifter
R0692,18,Male,Andhra Pradesh,Tier-2,Above ₹20L,Class 11-12,Science PCB,State Board,Below 60%,Very clear,6–12 months,Relatives,YouTube,Online courses,Medicine/Healthcare,1-on-1 mentorship,Social status,2,5,823.0,4046.0,Yes,Focused Climber
R0693,21,Female,Other,Tier-3,₹2–5L,Class 11-12,Science PCM,ICSE,80–90%,Somewhat unclear,3–6 months,Both equally,Family/Friends,Coaching classes,Engineering/Tech,AI career roadmap,Unclear,5,4,219.0,998.0,Yes,Anxious Achiever
R0694,21,Female,Gujarat,Tier-3,₹2–5L,Class 11-12,Science PCB,ICSE,70–80%,Somewhat unclear,More than 2 years,Both equally,Career Books,Coaching classes,Government/UPSC,AI career roadmap,Family expectations,4,3,173.0,740.0,Yes,Confused Drifter
R0695,16,Female,Rajasthan,Tier-2,₹5–10L,Class 11-12,Not Applicable,CBSE,70–80%,Not clear at all,6–12 months,Both equally,YouTube,Coaching classes,Education/Teaching,AI career roadmap,Financial security,1,4,189.0,626.0,No,Passive Explorer
R0696,15,Female,Bihar,Tier-2,₹10–20L,Undergraduate,Science PCM,Other,70–80%,Not clear at all,1–2 years,Both equally,Family/Friends,Nothing,Engineering/Tech,1-on-1 mentorship,Family expectations,4,3,379.0,1462.0,No,Confused Drifter
R0697,17,Male,Rajasthan,Rural,₹10–20L,Class 9-10,Science PCM,State Board,70–80%,Not clear at all,More than 2 years,Both equally,YouTube,Online courses,Business/Management,Entrance exam navigator,Unclear,4,3,301.0,1266.0,No,Confused Drifter
R0698,19,Male,Maharashtra,Tier-3,₹2–5L,Postgraduate,Arts/Humanities,State Board,60–70%,Not clear at all,More than 2 years,Both equally,YouTube,Nothing,Law,AI career roadmap,Passion/Interest,5,4,211.0,696.0,No,Confused Drifter
R0699,20,Male,Other,Tier-3,₹2–5L,Class 11-12,Commerce,State Board,70–80%,Somewhat unclear,3–6 months,Parents,School Counsellor,Exam prep material,Education/Teaching,Skill assessment,Family expectations,4,3,245.0,876.0,Yes,Anxious Achiever
R0700,17,Male,Gujarat,Metro,₹10–20L,Working Professional,Science PCM,State Board,80–90%,Not clear at all,1–2 years,Relatives,Family/Friends,Nothing,Arts/Design,AI career roadmap,Family expectations,1,3,244.0,941.0,No,Passive Explorer
